token,frequency,total,idf
free,258264,5940667,3.1355943780487783
union,258171,5940667,3.135954539544437
project,257135,5940667,3.1399754568084224
control,256858,5940667,3.141053292603138
king,256738,5940667,3.141520585970624
seen,256067,5940667,3.144137566627794
help,255842,5940667,3.1450166291740245
eight,255480,5940667,3.146432566921591
1999,255347,5940667,3.146953291170721
army,255215,5940667,3.1474703684422027
signed,255044,5940667,3.148140616321815
n't,254479,5940667,3.1503583777637036
today,254196,5940667,3.1514710726246595
royal,254191,5940667,3.1514907426791656
designed,254159,5940667,3.151616640190889
half,252146,5940667,3.1595684107913424
either,252058,5940667,3.1599174758558544
almost,250929,5940667,3.1644066650239395
living,250548,5940667,3.1659261766797404
return,250536,5940667,3.1659740728408723
version,250355,5940667,3.166696784999319
european,250198,5940667,3.1673240912192333
records,249934,5940667,3.1683798126068674
previous,249358,5940667,3.1706870807206253
daughter,248816,5940667,3.1728630281359975
sold,248718,5940667,3.1732569710676057
song,248543,5940667,3.1739608268183073
example,248125,5940667,3.1756440441735245
eastern,247025,5940667,3.1800871495339527
you,246803,5940667,3.180986248066053
military,246739,5940667,3.1812455978290264
services,246610,5940667,3.1817685542065197
beginning,246298,5940667,3.1830345107000997
approximately,246281,5940667,3.183103535161178
attended,246121,5940667,3.1837534106922734
awarded,245374,5940667,3.1867931184214626
added,245363,5940667,3.1868379489518763
thus,245142,5940667,3.1877390611319942
soon,245065,5940667,3.188053214135249
social,244762,5940667,3.1892903857842088
art,242790,5940667,3.1973798234392588
1998,242074,5940667,3.2003332310770682
29,241993,5940667,3.200667895496481
whose,241868,5940667,3.2011845728181947
band,241590,5940667,3.202334621139416
prior,240915,5940667,3.205132521432009
largest,240742,5940667,3.205850874980029
private,240590,5940667,3.2064824556979232
able,240365,5940667,3.207418094235475
featured,239685,5940667,3.210251134355518
provided,239426,5940667,3.2113323035427386
story,238899,5940667,3.213535827143797
go,238873,5940667,3.2136446656693933
germany,237859,5940667,3.2178986344784213
ten,237828,5940667,3.218028972284768
rather,237419,5940667,3.2197501829435375
successful,236164,5940667,3.2250502166769355
mother,235847,5940667,3.226393405914728
release,235776,5940667,3.226694493862247
independent,235672,5940667,3.2271356878080777
should,235480,5940667,3.227950711454919
get,235208,5940667,3.2291064665635147
europe,234835,5940667,3.2306935557374596
replaced,234740,5940667,3.2310981769430014
listed,234707,5940667,3.231238767893862
court,234253,5940667,3.2331749677481447
fourth,234037,5940667,3.2340974730987537
case,233543,5940667,3.236210481284737
1996,233292,5940667,3.237285807788476
david,233104,5940667,3.238091989703339
above,232767,5940667,3.2395387423828623
act,232628,5940667,3.240136084443405
decided,232460,5940667,3.2408585283994173
island,232337,5940667,3.241387791724573
least,231608,5940667,3.244530408198376
outside,231548,5940667,3.244789500168838
red,230842,5940667,3.247843201800042
construction,230390,5940667,3.2498031705129486
range,229886,5940667,3.2519931617418396
body,229488,5940667,3.253725955063122
australia,229474,5940667,3.2537869622924975
california,229223,5940667,3.254881366768883
initially,229023,5940667,3.255754260422943
1997,228230,5940667,3.259222803199193
finished,228124,5940667,3.2596873548494747
degree,228075,5940667,3.2599021733834412
brought,227939,5940667,3.2604986463164307
hall,227047,5940667,3.2644196511070005
taking,226399,5940667,3.2672777662568366
performed,226022,5940667,3.26894435594768
active,225684,5940667,3.2704409048670375
changed,224490,5940667,3.2757455328546023
st.,224226,5940667,3.276922223814859
middle,223983,5940667,3.278006539497091
put,223868,5940667,3.278520103171293
air,223740,5940667,3.2790920321961945
brother,223668,5940667,3.2794138860773123
force,223107,5940667,3.2819252186041656
placed,222802,5940667,3.283293210941458
represented,222579,5940667,3.2842946008464384
usually,222177,5940667,3.2861023341180506
robert,221982,5940667,3.2869803981110293
census,221487,5940667,3.289212798597079
canada,221335,5940667,3.2898993047145244
style,221155,5940667,3.2907128824673713
parts,220056,5940667,3.29569463619927
we,219573,5940667,3.2978919443583474
below,219040,5940667,3.3003223340748407
success,218552,5940667,3.3025527231235516
1995,218477,5940667,3.302895949777784
design,218194,5940667,3.3041921203026017
plays,217907,5940667,3.3055083293524934
places,217682,5940667,3.3065414133835924
championship,217668,5940667,3.3066057294511464
sent,217474,5940667,3.307497392461628
study,217423,5940667,3.3077319307556783
provide,216835,5940667,3.3104399999649883
itself,216488,5940667,3.3120415769603135
numerous,216322,5940667,3.3128086572409896
sometimes,216319,5940667,3.31282252555213
reported,216021,5940667,3.314201070434366
reached,215999,5940667,3.3143029175711605
1992,215881,5940667,3.31484936567219
come,215750,5940667,3.3154563656514418
especially,215472,5940667,3.3167457249072934
2019,215383,5940667,3.317158856941346
behind,215382,5940667,3.3171634998440886
shows,215263,5940667,3.317716159241174
1994,215051,5940667,3.318701486314669
win,214898,5940667,3.3194131986640794
chief,214647,5940667,3.3205818772824696
change,214559,5940667,3.3209919367934413
capital,214556,5940667,3.321005919059268
far,214454,5940667,3.321481432459524
process,214282,5940667,3.3222837910635485
term,214212,5940667,3.322610516761564
night,213958,5940667,3.323796961537215
whom,213578,5940667,3.3255745900880993
spent,213287,5940667,3.326938019017992
information,213115,5940667,3.3277447694991285
start,212898,5940667,3.3287635178413986
notable,212660,5940667,3.329882049392039
earlier,212186,5940667,3.332113447106391
post,212067,5940667,3.3326744331365235
cup,212033,5940667,3.3328347726794276
performance,212011,5940667,3.332938535496587
saw,211837,5940667,3.3337595845980323
too,211308,5940667,3.3362599108483377
radio,211256,5940667,3.336506027414172
round,210674,5940667,3.3392647806155074
training,209838,5940667,3.343240891173074
class,209589,5940667,3.3444282254612943
centre,209556,5940667,3.344585688869271
31,209529,5940667,3.3447145410116157
studies,209359,5940667,3.3455262138660933
studied,209138,5940667,3.3465823744624337
possible,208956,5940667,3.347452992129733
institute,208738,5940667,3.3484968185662822
native,208658,5940667,3.3488801475918577
sea,208639,5940667,3.3489712098329627
